,Position,Nickname,FPPG,Salary,Opponent,Home,D,K,QB,RB,TE,WR,minTweetCounts
319,RB,Donnel Pumphrey,0.0,4500,3.8571428571428568,1,0,0,0,1,0,0,34
320,TE,Clive Walford,0.5333333412806193,4500,9.333333333333334,0,0,0,0,0,1,0,11
321,RB,Mike James,2.033333301544189,4500,9.857142857142858,1,0,0,0,1,0,0,45
322,WR,Josh Malone,0.0,4500,5.0,1,0,0,0,0,0,1,17
323,WR,Rashawn Scott,0.0,4500,10.714285714285714,0,0,0,0,0,0,1,9
324,TE,Eric Tomlinson,2.1,4500,5.0,1,0,0,0,0,1,0,8
325,TE,Clark Harris,0.0,4500,5.0,1,0,0,0,0,1,0,11
326,RB,Taquan Mizzell,0.0,4500,10.833333333333336,0,0,0,0,1,0,0,11
327,RB,Derek Watt,0.0,4500,5.0,0,0,0,0,1,0,0,14
328,TE,Garrett Celek,2.4399999618530277,4500,8.285714285714286,0,0,0,0,0,1,0,11
329,TE,Asante Cleveland,0.0,4500,5.0,0,0,0,0,0,1,0,11
330,WR,Shelton Gibson,0.0,4500,3.8571428571428568,1,0,0,0,0,0,1,13
331,WR,Stacy Coley,0.0,4500,5.857142857142858,0,0,0,0,0,0,1,9
332,WR,Alex Erickson,2.033333301544189,4500,5.0,1,0,0,0,0,0,1,14
333,WR,Andre Roberts,0.2833333412806193,4500,5.142857142857143,0,0,0,0,0,0,1,10
334,D,Dallas Cowboys,6.333333333333332,4500,7.666666666666668,0,1,0,0,0,0,0,8
335,D,Detroit Lions,13.0,4500,9.857142857142858,1,1,0,0,0,0,0,7
336,RB,Tion Green,0.0,4500,9.857142857142858,1,0,0,0,1,0,0,11
337,WR,Rodney Adams,0.0,4500,5.857142857142858,0,0,0,0,0,0,1,13
338,D,New England Patriots,5.0,4500,8.571428571428571,1,1,0,0,0,0,0,8
339,TE,Daniel Brown,4.399999936421712,4500,10.833333333333336,0,0,0,0,0,1,0,25
340,TE,Luke Willson,4.283333460489908,4500,9.333333333333334,1,0,0,0,0,1,0,59
341,TE,C.J. Fiedorowicz,6.5999999046325675,4500,9.5,0,0,0,0,0,1,0,8
342,WR,Jared Abbrederis,2.9500000476837163,4500,9.857142857142858,1,0,0,0,0,0,1,15
343,RB,George Winn,0.0,4500,6.833333333333332,0,0,0,0,1,0,0,8
344,D,Tampa Bay Buccaneers,6.0,4500,7.428571428571429,1,1,0,0,0,0,0,8
345,D,Houston Texans,9.333333333333334,4500,9.5,0,1,0,0,0,0,0,8
